empno,storeno,somakiosk,cage,cincome,custno,loyallev,loyaltycard,cid,visits,brandtrust,comp,sexy,sophis,exc,fit,ability,csr,ValueForPrice,empsim,TotalACTV,cussat,somarket,CoreBrandACTV,ALLpreACTV,cgender,MCcussat,cussatquad,SOMAinteffect,HighlyRecommend,MCFit,fitquad,storeambience,frequentvisitor,empsimHL,visitsafterkiosk,ActedOnADeal,TotalYearlyACTV,Zcincome,Zcage,SOMAEmp,TotalTwoYearSpend,HighValueCustomer,MCSomaSexy,SomaSexyquad,SatFit,MCGender,SatGender,ServiceQuality,MCAge,MCLoyaltyCard,MCIncome,SOMAEmpsim,Zexc,Zsophis,Zcsr,ZValueForPrice,Zcid,Zempsim
8650881796.00,220.00,1.00,37.00,51684.00,946675401829927,1,1,3,20.0,2.33,5.00,4.33,5.00,2.00,5.00,1.33,6.00,4.00,4.67,56.55,3.00,0.00,31.78,120.16,1.00,-1.12,1.26,10.00,0.00,0.98,0.00,2.00,1.00,1.00,10.00,10.00,88.36,-1.38498,-0.82376,11.00,811.55,0.00,0.22,0.326,-1.11,0.29,-0.32,4.67,-11.09,0.49,-103848.00,11.00,-1.05155,0.43298,0.87540,-0.05512,-0.57465,0.25542
9436585376.00,220.00,1.00,69.00,81773.00,326810671466744,1,1,5,17.0,3.67,6.00,4.33,5.00,3.00,7.00,4.67,5.00,4.00,6.33,66.73,4.00,0.00,36.31,74.20,0.00,-0.12,0.01,10.00,0.00,2.98,4.01,3.00,1.00,1.00,8.50,8.50,70.46,-0.98369,0.88020,11.00,957.59,0.00,0.22,0.326,-0.38,-0.71,0.09,6.33,20.91,0.49,-73759.00,11.00,-0.55015,0.43298,0.38942,-0.05512,0.37792,1.08956
9436585376.00,220.00,1.00,45.00,269941.00,388014846778043,0,1,4,11.0,6.33,4.67,3.00,6.00,7.00,2.00,6.33,5.67,2.00,3.00,62.59,5.00,0.00,62.59,67.67,1.00,0.88,0.77,10.00,0.00,-2.02,8.99,7.00,0.00,0.00,5.50,5.50,65.13,1.52582,-0.39777,10.00,898.12,0.00,-1.11,3.626,-1.76,0.29,0.25,3.00,-3.09,0.49,114409.00,10.00,1.45542,0.92301,0.71341,-1.05296,-0.09836,-0.57871
9436585376.00,220.00,1.00,36.00,83414.00,549119290658575,0,0,7,16.0,6.00,5.33,7.00,7.00,4.33,4.25,5.00,4.00,4.00,6.67,76.12,7.00,0.00,34.49,79.05,1.00,2.88,8.29,10.00,1.00,0.23,0.56,4.33,1.00,1.00,8.00,8.00,77.58,-0.96181,1.73217,11.00,1092.26,0.00,2.89,4.392,0.67,0.29,0.83,6.67,-12.09,-0.51,-72118.00,11.00,0.11837,1.41303,-0.09657,-0.05512,1.33049,1.25638
9436585376.00,220.00,1.00,61.00,133568.00,558490018986072,1,1,3,19.0,6.33,2.67,5.00,7.00,4.33,3.00,6.00,4.33,4.00,5.00,60.83,5.00,0.00,29.75,69.04,1.00,0.88,0.77,10.00,0.00,-1.02,3.99,4.33,1.00,1.00,9.50,9.50,64.93,-0.29292,0.45421,11.00,872.84,0.00,0.89,0.009,-0.89,0.29,0.25,5.00,12.91,0.49,-21964.00,11.00,0.11837,1.41303,0.06543,-0.05512,-0.57465,0.42225
9436585376.00,220.00,1.00,65.00,92550.00,623011545845324,0,0,7,18.0,4.33,7.00,5.67,7.00,7.00,7.00,7.00,5.33,4.33,5.00,170.55,7.00,0.00,115.93,110.53,0.00,2.88,8.29,10.00,1.00,2.98,4.01,7.00,1.00,1.00,9.00,9.00,140.54,-0.83996,0.66720,11.00,2447.38,1.00,1.55,0.581,8.56,-0.71,-2.05,5.00,16.91,-0.51,-62982.00,11.00,1.45542,1.41303,0.55141,0.11119,1.33049,0.42225
9436585376.00,220.00,1.00,35.00,146043.00,660402241864225,0,1,5,22.0,5.33,5.00,4.33,6.00,3.00,5.00,5.67,5.00,2.00,1.00,107.93,6.00,0.00,86.08,124.26,1.00,1.88,3.53,10.00,0.00,0.98,0.00,3.00,1.00,0.00,11.00,11.00,116.09,-0.12655,1.25294,10.00,1548.76,1.00,0.22,0.326,1.84,0.29,0.54,1.00,-13.09,0.49,-9489.00,10.00,-0.55015,0.92301,0.38942,-1.05296,0.37792,-1.57967
9436585376.00,220.00,1.00,54.00,168238.00,685026596604646,0,0,3,20.0,7.00,7.00,5.00,6.33,5.00,5.50,7.00,5.00,1.67,3.00,99.56,2.00,0.00,75.83,111.31,1.00,-2.12,4.50,10.00,0.00,1.48,0.25,5.00,1.00,0.00,10.00,10.00,105.43,0.16945,0.08147,10.00,1428.67,0.00,0.89,0.009,-3.15,0.29,-0.61,3.00,5.91,-0.51,12706.00,10.00,0.45263,1.08635,0.38942,-1.21927,-0.57465,-0.57871
9436585376.00,220.00,1.00,33.00,251091.00,721871597661159,0,1,7,22.0,2.67,4.33,5.33,6.00,4.33,6.00,1.00,3.00,6.00,7.00,88.15,5.00,0.00,48.62,99.40,0.00,0.88,0.77,10.00,0.00,1.98,1.00,4.33,1.00,1.00,11.00,11.00,93.78,1.27443,-1.03675,11.00,1264.97,0.00,1.22,0.184,1.73,-0.71,-0.62,7.00,-15.09,0.49,95559.00,11.00,0.11837,0.92301,-0.58255,0.94272,1.33049,1.42321
9501985783.00,220.00,1.00,26.00,114526.00,135400666437977,0,0,5,19.0,3.67,2.67,5.00,2.67,5.00,3.00,2.67,3.67,3.00,2.00,109.25,2.00,0.00,82.09,79.16,1.00,-2.12,4.50,10.00,0.00,-1.02,3.99,5.00,1.00,0.00,9.50,9.50,94.21,-0.54688,-1.40949,10.00,1567.77,1.00,0.89,0.009,2.17,0.29,-0.61,2.00,-22.09,-0.51,-41006.00,10.00,0.45263,-0.71040,-0.25856,-0.55404,0.37792,-1.07919
